id,idcc,label
8bc372c2-f155-488d-b0ab-94a032863a52,0016,"Convention collective nationale des transports routiers et activités auxiliaires du transport"
4f39c608-bbd0-476f-8adc-01e43f273e02,0018,"Convention collective nationale des industries textiles"
148e2554-79a7-479b-b543-fff50ba349bf,0029,"Convention collective nationale des établissements privés d'hospitalisation, de soins, de cure et de garde à but non lucratif (FEHAP, convention de 1951)"
e1131857-362b-4f98-bfdc-2f7c4c1e89fe,0043,"Convention collective nationale de l'Import-export et du Commerce international"
c7ec5308-33ff-4c0f-8d7e-e0bf1e779206,0044,"Convention collective nationale des industries chimiques et connexes"
d28ac33c-dd57-47ea-9897-8407983e378e,0045,"Convention collective nationale du caoutchouc"
214b768d-dbfc-41d4-b067-24dbe9c3ae5d,0054,"Convention collective régionale des ouvriers, employés, techniciens et agents de maîtrise des industries métallurgiques, mécaniques et connexes de la région parisienne"
73a53428-fa45-4c94-97b8-002aa2990441,0086,"Convention collective nationale des entreprises de publicité et assimilées"
720da554-cdda-475c-ab4e-9ec537a4680d,0087,"Convention collective nationale des ouvriers des industries de carrières et de matériaux"
8224424e-5356-40c7-a1b1-3cb997831279,0112,"Convention collective nationale de l'industrie laitière"
f50bfac7-7e1e-4063-86ea-a93157b146b6,0135,"Convention collective nationale des employés techniciens et agents de maîtrise des industries de carrières et de matériaux"
7a025434-151f-4b03-ab34-67b61e4a125f,0158,"Convention collective nationale du travail mécanique du bois, des scieries, du négoce et de l'importation des bois"
9b827d1d-f88e-4c98-ab3b-d9d0e4c29ba6,0172,"Convention collective interrégionale de l'industrie du bois de pin maritime en forêt de Gascogne (Charente, Aquitaine) (annexée à la convention collective nationale du travail mécanique du bois, des scieries, du négoce et de l'importation des bois 0158)"
9e18a03d-646d-4b20-8f48-c041b3bb9cf0,0176,"Convention collective nationale de l'industrie pharmaceutique"
e119bf87-88d8-4ca5-990f-8330bae5630a,0184,"Convention collective nationale de l'imprimerie de labeur et des industries graphiques"
3f84e50d-cd22-4e4a-97e7-c23e397f0716,0200,"Convention collective nationale des exploitations frigorifiques"
5566c7f5-3939-4702-9d88-01a1f9a27871,0207,"Convention collective nationale de l'industrie des cuirs et peaux (annexée à la convention collective nationale de travail des industries de la maroquinerie, articles de voyage, chasse sellerie, gainerie, bracelets en cuir 2528)"
1a8024d6-7174-4149-adea-fc18dd12d8b7,0211,"Convention collective nationale des cadres des industries de carrières et matériaux (UNICEM)"
81ffc16a-d6b8-483e-ba70-b39d65cfeb74,0214,"Convention collective régionale des ouvriers des entreprises de presse de la région parisienne"
ad2cba96-b346-4b7f-bfce-3f0ea7082ef5,0218,"Convention collective nationale des organismes de sécurité sociale"
572fc845-ff60-44e0-a333-5ec1d7d34c17,0247,"Convention collective nationale des industries de l'habillement"
554eeaa5-8647-4a64-8441-faedf8d30014,0275,"Convention collective nationale du personnel au sol des entreprises de transport aérien"
256ac27d-9815-4eb0-8f22-af86ab4196fb,0292,"Convention collective nationale de la plasturgie (transformation des matières plastiques)"
5538fdf3-b66a-400b-bb56-d2ff01986a7e,0303,"Convention collective nationale de la couture parisienne et des autres métiers de la mode"
ab423f13-d083-4c6e-a841-380292dfa4de,0306,"Convention collective régionale des cadres techniques de la presse quotidienne parisienne"
4b49d785-d2fd-4c7c-9621-31e718eae453,0379,"Convention collective départementale du travail des commerces de la Martinique"
428f1ffc-5f45-450b-b311-88c04285bda5,0394,"Convention collective régionale des employés de la presse quotidienne parisienne"
