Code RNCP,Certification active ?,uuid,Nom la certification,Description de la certification,Type de diplôme,uuid (from Type de diplôme),Niveau de diplôme,Conventions collective,uuid (from Conventions collectives),Filière,uuid (from Domaines),Certificateurs
32208,checked,51eef7ae-80c0-481b-946f-9d6e1b9fc70c,Bac Professionnel  Métiers du commerce et de la vente - Option A : Animation et gestion de l'espace commercial - MCV,,Bac Pro,8f44da06-39b4-4515-920a-7dbe005d1d9c,4,,,Métiers Transverses,f69101d2-2824-4093-9ac0-8f8631e5010a,Ministère de l'Education Nationale et de la Jeunesse
17477,,2f1c2d5f-8b24-471b-8824-b7f5cb4f7bb8,Bac Professionnel Aéronautique option structure,,Bac Pro,8f44da06-39b4-4515-920a-7dbe005d1d9c,4,,,Métallurgie,4462f3ed-d605-4e08-bb87-b481d3c0b710,Ministère de l'Education Nationale et de la Jeunesse
7067,,2174d3db-e498-43cf-84a6-f882e66ef9b1,Bac Professionnel Boucher charcutier traiteur,,Bac Pro,8f44da06-39b4-4515-920a-7dbe005d1d9c,4,,,Grande distribution,24a5eeaa-82af-46f6-ad03-b5a6c5babf14,Ministère de l'Education Nationale et de la Jeunesse
7068,checked,93f3d1c4-9646-46d6-adcc-16234d5d3186,Bac Professionnel Boulanger pâtissier,,Bac Pro,8f44da06-39b4-4515-920a-7dbe005d1d9c,4,,,Grande distribution,24a5eeaa-82af-46f6-ad03-b5a6c5babf14,Ministère de l'Education Nationale et de la Jeunesse
14963,checked,1b7003d6-f4d1-4d81-b288-0824880ca298,Bac Professionnel Construction des carrosseries - CC,,Bac Pro,8f44da06-39b4-4515-920a-7dbe005d1d9c,4,,,Métallurgie,4462f3ed-d605-4e08-bb87-b481d3c0b710,Ministère de l'Education Nationale et de la Jeunesse
6726,checked,5ef560b4-bf84-44d0-bc17-1e7e9d79e14e,Bac Professionnel Fonderie,,Bac Pro,8f44da06-39b4-4515-920a-7dbe005d1d9c,4,,,Métallurgie,4462f3ed-d605-4e08-bb87-b481d3c0b710,Ministère de l'Education Nationale et de la Jeunesse
1120,checked,d2f1edf2-a478-4566-91c0-26dda560ff1c,Bac Professionnel Logistique,,Bac Pro,8f44da06-39b4-4515-920a-7dbe005d1d9c,4,,,Métiers Transverses,f69101d2-2824-4093-9ac0-8f8631e5010a,Ministère de l'Education Nationale et de la Jeunesse
35698,checked,517e81ee-2850-47d8-aa1b-dd216b492077,Bac Professionnel Maintenance des systèmes de production connectés - MSPC,,Bac Pro,8f44da06-39b4-4515-920a-7dbe005d1d9c,4,,,Métallurgie,4462f3ed-d605-4e08-bb87-b481d3c0b710,Ministère de l'Education Nationale et de la Jeunesse
25353,checked,52f481d4-e025-419b-aa6d-70fd7d1079de,Bac Professionnel Métiers de l'électricité et de ses environnements connectés - MELEC ,,Bac Pro,8f44da06-39b4-4515-920a-7dbe005d1d9c,4,,,Métallurgie,4462f3ed-d605-4e08-bb87-b481d3c0b710,Ministère de l'Education Nationale et de la Jeunesse
36191,checked,602be48e-f586-4a88-8de5-39984f8506d5,Bac Professionnel Modélisation et prototypage 3D - MP3D,,Bac Pro,8f44da06-39b4-4515-920a-7dbe005d1d9c,4,,,Métallurgie,4462f3ed-d605-4e08-bb87-b481d3c0b710,Ministère de l'Education Nationale et de la Jeunesse
4432,checked,de7ab0b1-e9d1-4ec0-b24e-5d78aaa4ef66,Bac Professionnel Ouvrages du bâtiment option métallerie -OBM,,Bac Pro,8f44da06-39b4-4515-920a-7dbe005d1d9c,4,,,Métallurgie,4462f3ed-d605-4e08-bb87-b481d3c0b710,Ministère de l'Education Nationale et de la Jeunesse
36428,checked,b9afbbfd-85f7-4f70-ae9c-3f80db4f6375,Bac Professionnel Pilote de ligne de production - PLP,,Bac Pro,8f44da06-39b4-4515-920a-7dbe005d1d9c,4,,,Métallurgie,4462f3ed-d605-4e08-bb87-b481d3c0b710,Ministère de l'Education Nationale et de la Jeunesse
7069,,08e4f03e-54c5-476b-a451-5a488bef5bb8,Bac Professionnel Poissonnier écailleur traiteur ,,Bac Pro,8f44da06-39b4-4515-920a-7dbe005d1d9c,4,,,Grande distribution,24a5eeaa-82af-46f6-ad03-b5a6c5babf14,Ministère de l'Education Nationale et de la Jeunesse
