Code du Terme;Descripteur en majuscules;Descripteur en typo riche;Champ sémantique;Synonymes;Synonymes métier;TG (Terme Générique);TS (Termes Spécifiques);TA (Termes Associés);NE (Note d’Explication);NA (Note d’Application);Note de version;ex-synonyme V-1;Code arborescence
15054;DEVELOPPEMENT PROFESSIONNEL ET PERSONNEL;Développement professionnel et personnel;150 DEVELOPPEMENT PROFESSIONNEL ET PERSONNEL;;;Sciences humaines, langues, pédagogie, information communication;Accompagnement vers emploi - 15061###Adaptation sociale - 15031###Alphabétisation - 15043###Bilan professionnel - 15081###Connaissance monde actuel - 15059###Efficacité personnelle - 15066###Gestion carrière personnelle - 15091###Lutte contre l'illettrisme - 15022###Mise à niveau - 15041###Préparation VAE - 15064###Préparation entrée formation - 15084###Préparation examen concours - 15073###Préparation retraite - 15048###Relation interpersonnelle - 15034###Vie quotidienne loisir - 15038;;;Employer si possible un descripteur plus précis.;;;A0A0
15061;ACCOMPAGNEMENT VERS EMPLOI;Accompagnement vers emploi;150 DEVELOPPEMENT PROFESSIONNEL ET PERSONNEL;insertion professionnelle###insertion socioprofessionnelle###préparation emploi###réinsertion professionnelle;;Développement professionnel et personnel - 15054;Technique recherche emploi - 15070;;;Employé pour les formations visant l'insertion ou la réinsertion professionnelle par la réactualisation des compétences, la redynamisation, la remise en confiance et un soutien actif à la recherche d'emploi. Pour les formations concernant uniquement les techniques de recherche d'emploi, employer [[TECHNIQUE RECHERCHE EMPLOI]] 15070.;;;A0A0A0
15070;TECHNIQUE RECHERCHE EMPLOI;Technique recherche emploi;150 DEVELOPPEMENT PROFESSIONNEL ET PERSONNEL;CV###TRE###curriculum vitae###lettre candidature;;Accompagnement vers emploi - 15061;;Conduite entretien recrutement - 33003###Technique recherche emploi - 15070;;Employé pour les formations aux techniques de recherche d'emploi (curriculum vitae, lettre de candidature, entretien, etc.) et d'information sur le marché du travail. Pour les formations de formateurs aux techniques de recherche d'emploi, employer [[TECHNIQUE ORIENTATION PROFESSIONNELLE]] 44595.;;;A0A0A0A0
15031;ADAPTATION SOCIALE;Adaptation sociale;150 DEVELOPPEMENT PROFESSIONNEL ET PERSONNEL;exclusion###insertion sociale###marginalisation sociale;;Développement professionnel et personnel - 15054;;;;Employé pour les formations visant une insertion sociale. Pour celles relatives à l'insertion professionnelle, employer [[ACCOMPAGNEMENT VERS EMPLOI]] 15061.;;;A0A0A1
15043;ALPHABETISATION;Alphabétisation;150 DEVELOPPEMENT PROFESSIONNEL ET PERSONNEL;;;Développement professionnel et personnel - 15054;;Alphabétisation - 15043###Public analphabète - 81021###Pédagogie alphabétisation - 44507;Désigne la formation de personnes qui n’ont jamais été scolarisées. Il s’agit pour elles d’entrer dans un premier niveau d’apprentissage.;Ne pas confondre avec [[LUTTE CONTRE L'ILLETTRISME]] 15022.;;;A0A0A2
15081;BILAN PROFESSIONNEL;Bilan professionnel;150 DEVELOPPEMENT PROFESSIONNEL ET PERSONNEL;bilan compétences###bilan savoir-faire;;Développement professionnel et personnel - 15054;Orientation professionnelle - 15062;Bilan professionnel - 15081###Technique orientation professionnelle - 44595;;Employé pour les formations de préparation à un bilan ou une évaluation des acquis professionnels. Pour les formations destinées aux professionnels de l'orientation, employer [[TECHNIQUE ORIENTATION PROFESSIONNELLE]] 44595.;;;A0A0A3
15062;ORIENTATION PROFESSIONNELLE;Orientation professionnelle;150 DEVELOPPEMENT PROFESSIONNEL ET PERSONNEL;projet professionnel;;Bilan professionnel - 15081;;Orientation professionnelle - 15062###Technique orientation professionnelle - 44595###Test psychologique - 14492;Élaboration d'un projet professionnel.;Pour les formations destinées aux professionnels de l'orientation, employer [[TECHNIQUE ORIENTATION PROFESSIONNELLE]] 44595.;;;A0A0A3A0
15059;CONNAISSANCE MONDE ACTUEL;Connaissance monde actuel;150 DEVELOPPEMENT PROFESSIONNEL ET PERSONNEL;connaissance monde contemporain;;Développement professionnel et personnel - 15054;;;;Employé pour les formations destinées aux personnes souhaitant comprendre le monde d'aujourd'hui sous ses différents aspects (économiques, juridiques, éthiques, sociaux, etc.).;;;A0A0A4
15066;EFFICACITE PERSONNELLE;Efficacité personnelle;150 DEVELOPPEMENT PROFESSIONNEL ET PERSONNEL;adaptabilité###confiance en soi###connaissance de soi###dynamisation mentale###entraînement mental###estime de soi;;Développement professionnel et personnel - 15054;Affirmation soi - 15075###Carte heuristique - 15067###Créativité personnelle - 15098###Développement mémoire - 15096###Gestion conflit - 15016###Gestion stress - 15097###Gestion temps - 15068###Intelligence émotionnelle - 15078###Lecture rapide - 15036###Organisation personnelle - 15069###Raisonnement logique - 15089###Résolution problème - 15099###Savoir-être - 15014###Valorisation image de soi - 15079###Évaluation personnalité - 15020;Efficacité personnelle - 15066###Préparation mentale - 15481;;Employé pour les formations à l'ensemble des méthodes permettant d'accroître ses facultés mentales et son efficacité personnelle.;;;A0A0A5
15075;AFFIRMATION SOI;Affirmation soi;150 DEVELOPPEMENT PROFESSIONNEL ET PERSONNEL;assertivité###comportement assertif;;Efficacité personnelle - 15066;;;;Employé pour les formations d'entraînement à l'expression de son point de vue ou de ses intérêts.;;;A0A0A5A0
